match_id,team,start_minute,end_minute,pass_count,score_context,phase_context,intensity_context,density,clustering_coefficient,avg_betweenness_centrality,avg_eigenvector_centrality,avg_path_length,centralization
3773552,Huesca,50,60,54,tied,middle,low,0.02891156462585034,0.0022675736961451248,0.013767209011264079,0.05553703531286526,4.093567251461988,0.09608843537414966
3773552,Barcelona,55,65,70,tied,middle,low,0.04591836734693878,0.06064721116419824,0.03926985496134432,0.10717969829018355,3.7477477477477477,0.14158163265306123
3773552,Huesca,55,65,56,tied,middle,low,0.03826530612244898,0.027210884353741496,0.0416553009638116,0.10174906732616439,4.850378787878788,0.08673469387755103
3773552,Barcelona,60,70,95,tied,late,low,0.05442176870748299,0.060424811588797256,0.039797036268235025,0.08556025533894852,4.4603174603174605,0.17474489795918366
3773552,Huesca,60,70,45,tied,late,low,0.02976190476190476,0.011710398445092321,0.013369752731454857,0.09934951979373793,3.4624505928853755,0.11607142857142856
3773552,Barcelona,65,75,106,tied,late,medium,0.061224489795918366,0.052688671807713916,0.05452147887819429,0.09558036306303257,4.615384615384615,0.12627551020408162
3773552,Huesca,65,75,38,tied,late,low,0.023809523809523808,0.014625850340136052,0.022341768751343225,0.14989993954742908,3.6406926406926408,0.08035714285714285
3773552,Barcelona,70,80,114,tied,late,medium,0.061224489795918366,0.06847376763298399,0.04533589440504335,0.09212855465507415,4.647147147147147,0.08460884353741496
3773552,Huesca,70,80,28,tied,late,low,0.017857142857142856,0.0,0.012122263336416899,0.1319787019793739,3.3529411764705883,0.06547619047619047
3773552,Barcelona,75,85,84,tied,late,low,0.05272108843537415,0.05709782833612471,0.04701247668097972,0.1061672339625698,4.45,0.1139455782312925
3773552,Huesca,75,85,51,tied,late,low,0.03231292517006803,0.025890386654303748,0.025516691740095996,0.0870193794495756,3.923076923076923,0.07185374149659864
3773552,Barcelona,80,90,30,tied,late,low,0.021258503401360544,0.0,0.024792125213988745,0.11673084161253072,4.8063241106719365,0.08290816326530612
3773552,Huesca,80,90,63,tied,late,low,0.04336734693877551,0.036281179138321996,0.06738386055761941,0.1263588001899752,5.757142857142857,0.10246598639455781
3773672,Barcelona,0,10,48,tied,early,low,0.03231292517006803,0.038386783284742466,0.01310426347110133,0.13012327991644276,2.8614718614718613,0.11352040816326528
3773672,Sevilla,0,10,64,tied,early,low,0.04081632653061224,0.038303230844650114,0.031205263330706594,0.1290079502148609,4.0,0.10501700680272108
3773672,Barcelona,5,15,42,tied,early,low,0.02891156462585034,0.025475787669531662,0.028340380069103475,0.13510961531366145,3.5723076923076924,0.09608843537414966
3773672,Sevilla,5,15,92,tied,early,low,0.055272108843537414,0.04280074203490904,0.029714588258471238,0.12257781619234225,3.413547237076649,0.1322278911564626
3773672,Barcelona,10,20,49,tied,early,low,0.034013605442176874,0.05119203842271978,0.03300227171985816,0.10103974612873674,4.876923076923077,0.13265306122448978
3773672,Sevilla,10,20,84,tied,early,low,0.04846938775510204,0.0390928164763745,0.02526767503691784,0.12379759649881965,3.486021505376344,0.13903061224489796
3773672,Barcelona,15,25,63,tied,early,low,0.041666666666666664,0.02559179628685849,0.03499499909074377,0.07516731421174011,4.1268939393939394,0.08333333333333334
3773672,Sevilla,15,25,80,tied,early,low,0.047619047619047616,0.032518177315667286,0.04304722070679517,0.103807847980274,4.016516516516517,0.1607142857142857
3773672,Barcelona,20,30,105,tied,early,medium,0.05612244897959184,0.05680393997179582,0.0495083085888557,0.08235114526563796,4.4,0.15221088435374147
3773672,Sevilla,20,30,77,tied,early,low,0.047619047619047616,0.028224233225745524,0.03846753963810235,0.10938880869058527,3.850793650793651,0.0982142857142857
3773672,Barcelona,25,35,97,tied,early,low,0.05357142857142857,0.05706150882948927,0.04069196548738283,0.10128371758482103,4.13063063063063,0.13392857142857142
3773672,Sevilla,25,35,60,tied,early,low,0.03571428571428571,0.031458737622718204,0.04120052619537863,0.09628827810592051,4.331182795698925,0.1101190476190476
3773672,Barcelona,30,40,83,tied,middle,low,0.047619047619047616,0.03433797120584474,0.033698819608615704,0.0899718633452376,3.6149732620320854,0.0982142857142857
3773672,Sevilla,30,40,62,tied,middle,low,0.03741496598639456,0.03549512374954645,0.020627430793868674,0.10603535447230047,3.3630769230769233,0.15008503401360546
3773672,Barcelona,35,45,83,tied,middle,low,0.045068027210884355,0.045784089181219845,0.030916497804795672,0.10603093431318056,3.6609848484848486,0.12159863945578231
3773672,Sevilla,35,45,75,tied,middle,low,0.04591836734693878,0.040921030881396474,0.03491516609867673,0.11980562785650224,3.679924242424242,0.14158163265306123
3773672,Barcelona,40,50,39,tied,middle,low,0.026360544217687076,0.027787907226282074,0.04804964539007092,0.08140341329253606,6.210826210826211,0.05697278911564625
3773672,Sevilla,40,50,96,tied,middle,low,0.05442176870748299,0.031121594529088345,0.05321885219232131,0.10841333503219697,4.296341463414634,0.11224489795918366
3773672,Barcelona,45,55,66,tied,middle,low,0.04251700680272109,0.03403990812309092,0.03831697226546733,0.0772332253367426,4.216806722689076,0.12414965986394558
3773672,Sevilla,45,55,58,tied,middle,low,0.03316326530612245,0.02357358032095508,0.026987964753922202,0.07525813322115464,4.273504273504273,0.0710034013605442
3773672,Barcelona,50,60,129,tied,middle,medium,0.06802721088435375,0.03956010930629229,0.04047352197812758,0.09440231497046916,3.459756097560976,0.16113945578231292
3773672,Sevilla,50,60,29,tied,middle,low,0.01870748299319728,0.017006802721088433,0.0020117294053464264,0.08063052154711102,2.0952380952380953,0.04379251700680273
3773672,Barcelona,55,65,114,tied,middle,medium,0.06037414965986394,0.051384392051818065,0.051756661120309286,0.0998784451537838,4.411605937921728,0.1062925170068027
3773672,Sevilla,55,65,36,tied,middle,low,0.02465986394557823,0.0,0.02692080378250591,0.10755723385349998,4.568840579710145,0.07950680272108843
3773672,Barcelona,60,70,64,tied,late,low,0.041666666666666664,0.08343185555159735,0.061302812632599867,0.06418398845093595,5.2807807807807805,0.08333333333333334
3773672,Sevilla,60,70,45,tied,late,low,0.034013605442176874,0.01020408163265306,0.04696185547249377,0.11674503877168066,4.294117647058823,0.09098639455782313
3773672,Barcelona,65,75,36,tied,late,low,0.021258503401360544,0.014781724095870965,0.021481178396072012,0.09412562407015776,5.239766081871345,0.06207482993197279
3773672,Sevilla,65,75,43,tied,late,low,0.02976190476190476,0.030612244897959183,0.04945733935095638,0.11783267997630532,6.490147783251231,0.05357142857142856
3773672,Barcelona,70,80,29,tied,late,low,0.01870748299319728,0.0,0.009929078014184396,0.12235707374453149,3.433333333333333,0.06462585034013606
3773672,Sevilla,70,80,53,tied,late,low,0.03571428571428571,0.05342480233228013,0.025590031520882586,0.11589807758785436,3.9708994708994707,0.08928571428571429
3773672,Barcelona,75,85,61,tied,late,low,0.036564625850340135,0.02393884302421302,0.038429981921846754,0.10714247914416306,4.338709677419355,0.10926870748299318
3773672,Sevilla,75,85,50,tied,late,low,0.03741496598639456,0.07529628525106145,0.03765883569739953,0.14353720060599684,3.842741935483871,0.08758503401360546
3773672,Barcelona,80,90,82,tied,late,low,0.04846938775510204,0.03165220031949208,0.04203453658240893,0.09213515043150959,3.9924924924924925,0.11819727891156462
3773672,Sevilla,80,90,43,tied,late,low,0.031462585034013606,0.04223694052567331,0.04072181784247854,0.08062283996243969,5.674876847290641,0.07270408163265304
3773587,Barcelona,0,10,102,tied,early,medium,0.05357142857142857,0.052303707677354316,0.03272138494877857,0.10496773466986614,3.8680926916221035,0.13392857142857142
3773587,Getafe,0,10,31,tied,early,low,0.01870748299319728,0.0,0.00947899618112384,0.08498485223630257,3.7252747252747254,0.04379251700680272
3773587,Barcelona,5,15,45,tied,early,low,0.030612244897959183,0.05939222154450815,0.04301149316109423,0.09814402407473835,4.940229885057471,0.07355442176870747
3773587,Getafe,5,15,43,tied,early,low,0.026360544217687076,0.005886732940030238,0.010460992907801418,0.07863861795747952,4.261437908496732,0.07780612244897958
3773587,Barcelona,10,20,68,tied,early,low,0.04081632653061224,0.010161228067919047,0.024339508853186666,0.10591770317263022,3.6298850574712644,0.08418367346938777
3773587,Getafe,10,20,53,tied,early,low,0.03571428571428571,0.03843537414965986,0.035051827605019084,0.09764509585146598,4.436559139784946,0.08928571428571429
3773587,Barcelona,15,25,82,tied,early,low,0.047619047619047616,0.019243214167484476,0.03246469453776285,0.08684721354736623,3.6672268907563024,0.07738095238095238
3773587,Getafe,15,25,46,tied,early,low,0.03231292517006803,0.016618075801749267,0.025059101654846337,0.14411219134483902,3.253968253968254,0.11352040816326528
3773587,Barcelona,20,30,50,tied,early,low,0.03316326530612245,0.06972654846759987,0.03988927131136141,0.11635715093896436,5.390804597701149,0.09183673469387754
3773587,Getafe,20,30,30,tied,early,low,0.02465986394557823,0.0,0.039404499877720704,0.1337487105230449,4.672364672364672,0.07950680272108843
3773587,Barcelona,25,35,59,tied,early,low,0.03741496598639456,0.018327620357252643,0.028955465164789317,0.10353565696582884,3.9827586206896552,0.10841836734693876
